Age of Members of 117th Congress,Title,Party,Age,Birthday,Number of Terms,Committee List
Rep.-elect Kevin Mullin (D-CA-15),US Representative,Democrat,52,6/15/1970,1,Speaker Pro Tempore
Rep. Greg Murphy (R-NC-3),US Representative,Republican,59,3/5/1963,3,Member | Ways and Means
Outgoing Rep. Stephanie Murphy (D-FL-7),US Representative,Democrat,43,9/16/1978,3,"Chair Emeritus, Chief Deputy Majority Whip, Member | Ways and Means, Armed Services, U.S. Capitol"
Rep. Jerry Nadler (D-NY-10),US Representative,Democrat,74,6/13/1947,17,Judiciary (Chair)
Rep. Grace Napolitano (D-CA-32),US Representative,Democrat,85,12/4/1936,13,"Member | Natural Resources, Transportation"
Rep. Richard Neal (D-MA-1),US Representative,Democrat,73,2/14/1949,18,"Co-Chair, Ways and Means Chair | Ways and Means (Chair), Taxation (Chair)"
Rep. Joe Neguse (D-CO-2),US Representative,Democrat,37,5/13/1984,3,"Chair, Co-Chair, Member, Policy and Communications Committee Chair | Rules, Judiciary, Natural Resources, Climate Crisis"
Rep. Troy Nehls (R-TX-22),US Representative,Republican,53,4/7/1968,2,"Member | Transportation, Veterans' Affairs"
Rep. Dan Newhouse (R-WA-4),US Representative,Republican,66,7/10/1955,5,Assistant Whip | Appropriations
Outgoing Rep. Marie Newman (D-IL-3),US Representative,Democrat,57,4/13/1964,1,"Member | Small Business, Transportation"
Rep.-elect Wiley Nickel (D-NC-13),US Representative,Democrat,47,11/23/1975,1,
Rep. Donald Norcross (D-NJ-1),US Representative,Democrat,63,12/3/1958,6,"Armed Services, Education, Science / Technology"
Rep. Ralph Norman (R-SC-5),US Representative,Republican,68,6/20/1953,4,"Member | Financial Services, Oversight"
Del. Eleanor Norton (D-DC-1),US Delegate,Democrat,84,6/13/1937,17,"Member | Transportation, Oversight"
Rep.-elect Zach Nunn (R-IA-3),US Representative,Republican,43,5/4/1979,1,
Rep. Jay Obernolte (R-CA-8),US Representative,Republican,51,8/18/1970,2,"Member | Budget, Natural Resources, Science / Technology"
Rep. Alexandria Ocasio-Cortez (D-NY-14),US Representative,Democrat,32,10/13/1989,3,"Member | Financial Services, Oversight, Economic Disparity and Fairness in Growth"
Rep.-elect Andy Ogles (R-TN-5),US Representative,Republican,51,6/18/1971,1,
Outgoing Rep. Tom O'Halleran (D-AZ-1),US Representative,Democrat,76,1/24/1946,3,"Member | Energy, Agriculture"
Rep. Ilhan Omar (D-MN-5),US Representative,Democrat,39,10/4/1982,3,"Member | Foreign Affairs, Education"
Rep. Burgess Owens (R-UT-4),US Representative,Republican,70,8/2/1951,2,"Member | Judiciary, Education"
Outgoing Rep. Steven Palazzo (R-MS-4),US Representative,Republican,52,2/21/1970,6,Member | Appropriations
Rep. Frank Pallone (D-NJ-6),US Representative,Democrat,70,10/30/1951,19,Energy and Commerce Chair | Energy (Chair)
Rep. Gary Palmer (R-AL-6),US Representative,Republican,67,5/14/1954,5,"Chairman, Policy Chair | Energy, Climate Crisis"
Rep. Jimmy Panetta (D-CA-20),US Representative,Democrat,52,10/1/1969,4,"Assistant Whip, Chief Deputy Whip, Member | Ways and Means, Armed Services, Agriculture"
Rep. Chris Pappas (D-NH-1),US Representative,Democrat,41,6/4/1980,3,"Member | Transportation, Veterans' Affairs"
Rep. Bill Pascrell (D-NJ-9),US Representative,Democrat,85,1/25/1937,14,Ways and Means
Rep. Donald Payne (D-NJ-10),US Representative,Democrat,63,12/17/1958,7,"Homeland Security, Transportation"
Speaker Nancy Pelosi (D-CA-12),US Representative,Democrat,81,3/26/1940,19,"Chair, Member, Speaker of the House"
Rep. Mary Peltola (D-AK-1),US Representative,Democrat,49,8/31/1973,2,"Natural Resources, Education"
Rep. Greg Pence (R-IN-6),US Representative,Republican,65,11/14/1956,3,Member | Energy
Outgoing Rep. Ed Perlmutter (D-CO-7),US Representative,Democrat,68,5/1/1953,8,"Rules, Financial Services, Science / Technology, Modernization of Congress"
Rep. Scott Perry (R-PA-10),US Representative,Republican,59,5/27/1962,6,"Member | Foreign Affairs, Transportation"
Rep. Scott Peters (D-CA-52),US Representative,Democrat,63,6/17/1958,6,"Member, Vice Chair | Budget, Energy, Small Business, Economy"
Rep.-elect Brittany Pettersen (D-CO-7),US Representative,Democrat,41,Dec-81,1,
Rep. August Pfluger (R-TX-11),US Representative,Republican,43,12/28/1978,2,"117th Class Representative, Assistant Whip | Foreign Affairs, Homeland Security"
Rep. Dean Phillips (D-MN-3),US Representative,Democrat,53,1/20/1969,3,"Co-Chair, Policy and Communications Committee Co-Chair | Foreign Affairs, Small Business, Ethics, Modernization of Congress"
Rep. Chellie Pingree (D-ME-1),US Representative,Democrat,66,4/2/1955,8,"Member | Appropriations, Agriculture"
Del. Stacey Plaskett (D-VI-1),US Delegate,Democrat,55,5/13/1966,5,"Member | Ways and Means, Budget, Agriculture"
Rep. Mark Pocan (D-WI-2),US Representative,Democrat,57,8/14/1964,6,"Co-Chair | Appropriations, Education, Economy"
Rep. Katie Porter (D-CA-45),US Representative,Democrat,48,1/3/1974,3,"Member | Natural Resources, Oversight"
Rep. Bill Posey (R-FL-8),US Representative,Republican,74,12/18/1947,8,"Financial Services, Science / Technology"
Rep. Ayanna Pressley (D-MA-7),US Representative,Democrat,48,2/3/1974,3,"Member | Financial Services, Oversight"
Outgoing Rep. David Price (D-NC-4),US Representative,Democrat,81,8/17/1940,13,"Appropriations, Budget"
Rep. Mike Quigley (D-IL-5),US Representative,Democrat,63,10/17/1958,8,"Appropriations, Intelligence"
Del. Aumua Amata Radewagen (R-AS-1),US Delegate,Republican,74,12/29/1947,5,"Natural Resources (Assistant Ranking Minority Member), Veterans' Affairs (Assistant Ranking Minority Member)"
Rep.-elect Delia Ramirez (D-IL-3),US Representative,Democrat,39,6/2/1983,1,Assistant Majority Leader
Rep. Jamie Raskin (D-MD-8),US Representative,Democrat,59,12/13/1962,4,"Rules, Judiciary, Oversight, House Administration, Printing, U.S. Capitol"
Rep. Guy Reschenthaler (R-PA-14),US Representative,Republican,38,4/17/1983,3,"Chief Deputy Whip, Member | Rules, Appropriations, Modernization of Congress"
Outgoing Rep. Kathleen Rice (D-NY-4),US Representative,Democrat,57,2/15/1965,4,"Member | Energy, Homeland Security"
Outgoing Rep. Tom Rice (R-SC-7),US Representative,Republican,64,8/4/1957,5,Ways and Means
Rep. Hal Rogers (R-KY-5),US Representative,Republican,84,12/31/1937,22,Member | Appropriations
Rep. Mike Rogers (R-AL-3),US Representative,Republican,63,7/16/1958,11,Region V Representative | Armed Services (Ranking Member)
Rep. John Rose (R-TN-6),US Representative,Republican,57,2/23/1965,3,Member | Financial Services
Rep. Matt Rosendale (R-MT-1),US Representative,Republican,61,7/7/1960,2,"Natural Resources, Veterans' Affairs"
Rep. Deborah Ross (D-NC-2),US Representative,Democrat,58,6/20/1963,2,"Chief Deputy Whip, Member | Rules, Judiciary, Science / Technology"
Rep. David Rouzer (R-NC-7),US Representative,Republican,50,2/16/1972,5,"Agriculture, Transportation"
Rep. Chip Roy (R-TX-21),US Representative,Republican,49,8/7/1972,3,"Member | Judiciary, Veterans' Affairs"
Outgoing Rep. Lucille Roybal-Allard (D-CA-40),US Representative,Democrat,80,6/12/1941,15,Member | Appropriations
Rep. Raul Ruiz (D-CA-36),US Representative,Democrat,49,8/25/1972,6,"Co-Chair, Member | Energy, Veterans' Affairs"
Rep. C.A. Dutch Ruppersberger (D-MD-2),US Representative,Democrat,76,1/31/1946,11,Appropriations
Outgoing Rep. Bobby Rush (D-IL-1),US Representative,Democrat,75,11/23/1946,15,"Energy, Agriculture"
Rep. John Rutherford (R-FL-4),US Representative,Republican,69,9/2/1952,4,"Member | Appropriations, Ethics"
Rep. Patrick Ryan (D-NY-19),US Representative,Democrat,40,3/28/1982,2,Armed Services
Outgoing Rep. Tim Ryan (D-OH-13),US Representative,Democrat,48,7/16/1973,10,Appropriations
Del. Gregorio Sablan (D-MP-1),US Delegate,Democrat,67,1/19/1955,8,"Natural Resources (Vice Chair), Agriculture, Education, Veterans' Affairs"
Rep. Maria Salazar (R-FL-27),US Representative,Republican,60,11/1/1961,2,"Assistant Whip, Member | Foreign Affairs, Small Business"
Rep.-elect Andrea Salinas (D-OR-6),US Representative,Democrat,53,Dec-69,1,
Rep. Linda Sánchez (D-CA-38),US Representative,Democrat,53,1/28/1969,11,"Chief Deputy Whip, Co-Chair, Member | Ways and Means"
Outgoing Del. Michael San Nicolas (D-GU-1),US Delegate,Democrat,41,1/30/1981,2,"Member | Financial Services, Natural Resources"
Rep. John Sarbanes (D-MD-3),US Representative,Democrat,59,5/22/1962,9,"Energy, Oversight"
Whip Steve Scalise (R-LA-1),US Representative,Republican,56,10/6/1965,9,"Commitment to America implementation, House Majority Leader, House Minority Whip, Republican Whip | Energy"
Rep. Mary Scanlon (D-PA-5),US Representative,Democrat,62,8/30/1959,4,"Member | Judiciary (Vice Chair), Rules, House Administration"
Rep. Jan Schakowsky (D-IL-9),US Representative,Democrat,77,5/26/1944,13,"Chief Deputy Whip, Member, National Chair for Candidate Services, Senior Chief Deputy Majority Whip | Budget, Energy"
Rep. Adam Schiff (D-CA-28),US Representative,Democrat,61,6/22/1960,12,"Intelligence (Chair), U.S. Capitol"
Rep. Brad Schneider (D-IL-10),US Representative,Democrat,60,8/20/1961,4,"Member | Ways and Means, Foreign Affairs"
Rep.-elect Hillary Scholten (D-MI-3),US Representative,Democrat,40,2/22/1982,1,
Outgoing Rep. Kurt Schrader (D-OR-5),US Representative,Democrat,70,10/19/1951,7,Energy
Rep. Kim Schrier (D-WA-8),US Representative,Democrat,53,8/23/1968,3,"Member | Energy, Agriculture"
Rep. David Schweikert (R-AZ-6),US Representative,Republican,60,3/3/1962,7,"Member | Ways and Means, Economy"
Rep. Austin Scott (R-GA-8),US Representative,Republican,52,12/10/1969,7,"Member | Armed Services, Agriculture"
Rep. Bobby Scott (D-VA-3),US Representative,Democrat,74,4/30/1947,16,"Co-Chair | Education (Chair), Budget"
Rep. David Scott (D-GA-13),US Representative,Democrat,76,6/27/1945,11,"Agriculture (Chair), Financial Services"
Rep.-elect Keith Self (R-TX-3),US Representative,Republican,69,3/20/1953,1,
Outgoing Rep. Joe Sempolinski (R-NY-23),US Representative,Republican,39,2/10/1983,1,"Budget, Education"
Rep. Pete Sessions (R-TX-17),US Representative,Republican,66,3/22/1955,2,"Financial Services, Oversight"
Rep. Terri Sewell (D-AL-7),US Representative,Democrat,57,1/1/1965,7,"Chief Deputy Majority Whip, Chief Deputy Whip, Co-Chair, Member | Ways and Means"
Rep. Brad Sherman (D-CA-30),US Representative,Democrat,67,10/24/1954,14,"Financial Services, Foreign Affairs, Science / Technology"
Rep. Mikie Sherrill (D-NJ-11),US Representative,Democrat,50,1/19/1972,3,"Member | Armed Services, Education, Science / Technology"
Rep. Mike Simpson (R-ID-2),US Representative,Republican,71,9/8/1950,13,Appropriations
Outgoing Rep. Albio Sires (D-NJ-8),US Representative,Democrat,71,1/26/1951,9,"Budget, Foreign Affairs, Transportation"
Rep. Elissa Slotkin (D-MI-8),US Representative,Democrat,45,7/10/1976,3,"Member | Armed Services, Homeland Security, Veterans' Affairs"
Rep. Adam Smith (D-WA-9),US Representative,Democrat,56,6/15/1965,14,Armed Services (Chair)
Rep. Adrian Smith (R-NE-3),US Representative,Republican,51,12/19/1970,9,Member | Ways and Means
Rep. Chris Smith (R-NJ-4),US Representative,Republican,69,3/4/1953,22,Member | Foreign Affairs
Rep. Jason Smith (R-MO-8),US Representative,Republican,41,6/16/1980,6,"House Republican Conference Secretary | Budget (Ranking Member), Ways and Means"
Rep. Lloyd Smucker (R-PA-11),US Representative,Republican,58,1/23/1964,4,"Vice Chair for Business Outreach | Ways and Means, Budget"
Rep.-elect Eric Sorensen (D-IL-17),US Representative,Democrat,46,3/18/1976,1,
Rep. Darren Soto (D-FL-9),US Representative,Democrat,44,2/25/1978,4,"Chair | Energy, Natural Resources"
Rep. Abigail Spanberger (D-VA-7),US Representative,Democrat,42,8/7/1979,3,"Battleground Representative, Member | Foreign Affairs, Agriculture"
Rep. Victoria Spartz (R-IN-5),US Representative,Republican,43,10/6/1978,2,"Member | Judiciary, Education"
Outgoing Rep. Jackie Speier (D-CA-14),US Representative,Democrat,71,5/14/1950,8,"Co-Chair | Armed Services, Intelligence, Oversight"
Rep. Melanie Stansbury (D-NM-1),US Representative,Democrat,43,1/31/1979,2,"Member | Natural Resources, Science / Technology"
Rep. Greg Stanton (D-AZ-9),US Representative,Democrat,52,3/8/1970,3,"Judiciary, Transportation"
Rep. Pete Stauber (R-MN-8),US Representative,Republican,55,5/10/1966,3,"Member | Natural Resources, Small Business, Transportation"
Rep. Michelle Steel (R-CA-48),US Representative,Republican,66,6/21/1955,2,"Education, Transportation"
Rep. Elise Stefanik (R-NY-21),US Representative,Republican,37,7/2/1984,5,"Chair, Region I Representative | Armed Services, Intelligence, Education"
Rep. Bryan Steil (R-WI-1),US Representative,Republican,41,3/1/1981,3,"Member, Restoring the People's House | Economic Disparity and Fairness in Growth (Ranking Member), Financial Services, House Administration"
Rep. Greg Steube (R-FL-17),US Representative,Republican,43,5/19/1978,3,"Member | Judiciary, Foreign Affairs"
Rep. Haley Stevens (D-MI-11),US Representative,Democrat,38,6/24/1983,3,"Vice Chair | Science / Technology (Vice Chair), Education"
Rep. Chris Stewart (R-UT-2),US Representative,Republican,61,7/15/1960,6,"Member | Appropriations, Intelligence"
Rep. Marilyn Strickland (D-WA-10),US Representative,Democrat,59,9/25/1962,2,"Chief Deputy Whip, Member | Armed Services, Transportation"
Rep.-elect Dale Strong (R-AL-5),US Representative,Republican,52,5/8/1970,1,
Outgoing Rep. Tom Suozzi (D-NY-3),US Representative,Democrat,59,8/31/1962,3,Ways and Means
Rep. Eric Swalwell (D-CA-15),US Representative,Democrat,41,11/16/1980,6,"Chair Emeritus, Co-Chair, Member | Judiciary, Intelligence, Homeland Security"
Rep.-elect Emilia Sykes (D-OH-13),US Representative,Democrat,36,1/4/1986,1,
Rep. Mark Takano (D-CA-41),US Representative,Democrat,61,12/10/1960,6,"Chair, Member | Veterans' Affairs (Chair), Education"
Outgoing Rep. Van Taylor (R-TX-3),US Representative,Republican,49,8/1/1972,2,Financial Services
Rep. Claudia Tenney (R-NY-22),US Representative,Republican,61,2/4/1961,2,"Member | Foreign Affairs, Small Business"
Rep.-elect Shri Thanedar (D-MI-13),US Representative,Democrat,67,2/22/1955,1,
Rep. Bennie Thompson (D-MS-2),US Representative,Democrat,74,1/28/1948,16,"Homeland Security (Chair), U.S. Capitol (Chair)"
Rep. GT Thompson (R-PA-15),US Representative,Republican,62,7/27/1959,8,"Member | Agriculture (Ranking Member), Education"
Rep. Mike Thompson (D-CA-5),US Representative,Democrat,71,1/24/1951,13,"Ways and Means, Taxation"
Rep. Tom Tiffany (R-WI-7),US Representative,Republican,64,12/30/1957,3,"Judiciary, Natural Resources"
Rep. William Timmons (R-SC-4),US Representative,Republican,37,4/30/1984,3,"116th Class Representative | Modernization of Congress (Ranking Member), Financial Services"
Rep. Dina Titus (D-NV-1),US Representative,Democrat,71,5/23/1950,6,"Member | Foreign Affairs, Homeland Security, Transportation"
Rep. Rashida Tlaib (D-MI-13),US Representative,Democrat,45,7/24/1976,3,"Financial Services, Natural Resources, Oversight"
Rep.-elect Jill Tokuda (D-HI-2),US Representative,Democrat,46,3/6/1976,1,
Rep. Paul Tonko (D-NY-20),US Representative,Democrat,72,6/18/1949,8,"Energy, Natural Resources, Science / Technology"
Rep. Norma Torres (D-CA-35),US Representative,Democrat,56,4/4/1965,5,"Co-Chair, Member | Rules, Appropriations"
Rep. Ritchie Torres (D-NY-15),US Representative,Democrat,34,3/12/1988,2,"Crescendo Meeting Representative, Member | Homeland Security (Vice Chair), Financial Services"
Rep. Lori Trahan (D-MA-3),US Representative,Democrat,48,10/27/1973,3,Energy
Rep. David Trone (D-MD-6),US Representative,Democrat,66,9/21/1955,3,"Appropriations, Veterans' Affairs, Economy"
Rep. Mike Turner (R-OH-10),US Representative,Republican,62,1/11/1960,11,"Intelligence (Ranking Member), Armed Services"
Rep. Lauren Underwood (D-IL-14),US Representative,Democrat,35,10/4/1986,3,"Co-Chair, Member, Policy and Communications Committee Co-Chair | Appropriations, Veterans' Affairs"
Outgoing Rep. Fred Upton (R-MI-6),US Representative,Republican,68,4/23/1953,18,Region VII Representative | Energy
Rep. David Valadao (R-CA-21),US Representative,Republican,44,4/14/1977,2,Appropriations
Rep. Jeff Van Drew (R-NJ-2),US Representative,Republican,69,2/23/1953,3,"Homeland Security, Transportation"
Rep. Beth Van Duyne (R-TX-24),US Representative,Republican,51,11/16/1970,2,"Member | Small Business, Transportation, Modernization of Congress"
Rep.-elect Derrick Van Orden (R-WI-3),US Representative,Republican,53,9/15/1969,1,
Rep. Juan Vargas (D-CA-51),US Representative,Democrat,61,3/7/1961,6,"Financial Services, Foreign Affairs"
Rep.-elect Gabe Vasquez (D-NM-2),US Representative,Democrat,38,8/3/1984,1,
Rep. Marc Veasey (D-TX-33),US Representative,Democrat,51,1/3/1971,6,"Co-Chair, Member, Vice Chair | Energy, Armed Services"
Rep. Nydia Velázquez (D-NY-7),US Representative,Democrat,68,3/28/1953,16,"Member | Small Business (Chair), Financial Services, Natural Resources"
Rep. Ann Wagner (R-MO-2),US Representative,Republican,59,9/13/1962,6,"Financial Services (Assistant Ranking Minority Member), Foreign Affairs (Assistant Ranking Minority Member)"
Rep. Tim Walberg (R-MI-7),US Representative,Republican,70,4/12/1951,7,"Energy, Education"
Rep. Mike Waltz (R-FL-6),US Representative,Republican,48,1/1/1974,3,"Member | Armed Services, Science / Technology"
Rep. Debbie Wasserman Schultz (D-FL-23),US Representative,Democrat,55,9/27/1966,10,"Chief Deputy Majority Whip, Co-Chair, Member | Appropriations, Oversight"
Rep. Maxine Waters (D-CA-43),US Representative,Democrat,83,8/15/1938,17,"Financial Services Chair, Member | Financial Services (Chair)"
Rep. Bonnie Watson Coleman (D-NJ-12),US Representative,Democrat,77,2/6/1945,5,"Member | Appropriations, Homeland Security"
Rep. Randy Weber (R-TX-14),US Representative,Republican,68,6/2/1953,6,"Transportation, Science / Technology"
Rep. Daniel Webster (R-FL-11),US Representative,Republican,72,4/27/1949,7,"Natural Resources, Transportation, Science / Technology"
Rep. Brad Wenstrup (R-OH-2),US Representative,Republican,63,6/17/1958,6,"Chair, Member | Ways and Means, Intelligence"
Rep. Bruce Westerman (R-AR-4),US Representative,Republican,54,11/18/1967,5,"Member | Natural Resources (Ranking Member), Transportation"
Rep. Jennifer Wexton (D-VA-10),US Representative,Democrat,53,5/27/1968,3,"Appropriations, Budget"
Rep. Susan Wild (D-PA-7),US Representative,Democrat,64,6/7/1957,3,"Member | Ethics (Chair), Foreign Affairs, Education, Science / Technology"
Rep.-elect Brandon Williams (R-NY-22),US Representative,Republican,55,5/22/1967,1,
Rep. Nikema Williams (D-GA-5),US Representative,Democrat,43,7/30/1978,2,"Financial Services, Transportation, Modernization of Congress"
Rep. Roger Williams (R-TX-25),US Representative,Republican,72,9/13/1949,6,"Member | Small Business (Assistant Ranking Minority Member), Financial Services"
Rep. Frederica Wilson (D-FL-24),US Representative,Democrat,79,11/5/1942,7,"Member | Education, Transportation"
Rep. Joe Wilson (R-SC-2),US Representative,Republican,74,7/31/1947,12,"Armed Services, Foreign Affairs, Education"
Rep. Rob Wittman (R-VA-1),US Representative,Republican,63,2/3/1959,9,"Member | Armed Services, Natural Resources"
Rep. Steve Womack (R-AR-3),US Representative,Republican,65,2/18/1957,7,Region VIII Representative | Appropriations
Rep. Rudy Yakym (R-IN-2),US Representative,Republican,38,2/24/1984,2,
Outgoing Rep. John Yarmuth (D-KY-3),US Representative,Democrat,74,11/4/1947,8,"Budget Chair, Member | Budget (Chair)"
Outgoing Rep. Lee Zeldin (R-NY-1),US Representative,Republican,42,1/30/1980,4,"Financial Services, Foreign Affairs"
Rep.-elect Ryan Zinke (R-MT-1),US Representative,Republican,61,9/1/1961,1,
